etat,marque,processeur,ram,stockage,prix
Venant,Apple,M1,8,256,475 000 F Cfa
Neuf,Lenovo,Ryzen 7,16,512,900 000 F Cfa
Venant,Dell,I5,8,256,320 000 F Cfa
Venant,Apple,Core i7 ✅,8Go ✅,500 Go Ssd ✅,400 000 F Cfa
Venant,Apple,COREI5 3.2GHZ TURBO 4.3,16,2 tera Fusion Drive,950 000 F Cfa
Venant,HP,cor i7,8Go,500 Go,160 000 F Cfa
Venant,Dell,i7 11th,16 G,256G,450 000 F Cfa
Neuf,Dell,Core i5 10th Gen,8gb,256 ssd,250 000 F Cfa
Venant,Apple,CORE i7 ✅,16 GO ✅,256 GO SSD ✅,360 000 F Cfa
Venant,Dell,I7,8,256,290 000 F Cfa
Neuf,Dell,I9 12eme Generation unlocked,32Go DDR5 4800mhz,2Tera ssd nvme,1 950 000 F Cfa
Neuf,Apple,M1,8Go,256 Go SSD,650 000 F Cfa
Venant,Dell,i7,12,500,175 000 F Cfa
Venant,Lenovo,I5,8,256,270 000 F Cfa
Neuf,HP,Core i7 11th Gen,32GB,512 ssd,980 000 F Cfa
Venant,Dell,I7 7700hq,16 Go ddr4,Ssd 256go Hdd 1Tera,550 000 F Cfa
Venant,HP,I5 10300h up to 4.5GHz,16Go ddr4,M.2 SSD 512GO option 1Tera,680 000 F Cfa
Venant,Apple,I7,32,512,680 000 F Cfa
Venant,Lenovo,I7 66666EME GENERATION,20 GO,512 SSDµ,224 500 F Cfa
Neuf,Microsoft Surface,i7,16gb,256gb,1 220 000 F Cfa
Venant,Dell,CORE i5 ✅,16 GO ✅,256 GO SSD ✅,250 000 F Cfa
Venant,Apple,I5,8,128,270 000 F Cfa
Venant,Apple,Core i9,32Go,512Go,850 000 F Cfa
Neuf,Dell,Core i7 12th,16go,512go ssd,500 000 F Cfa
Neuf,Dell,i7,512 ssd,Ram 16Go,550 000 F Cfa
Neuf,Lenovo,Core i9,64Gb,2T ssd,1 150 000 F Cfa
Venant,Apple,,,,750 000 F Cfa
Neuf,HP,i5 10th,8,1TB + 256GB SSD,430 000 F Cfa
Neuf,Lenovo,Ryzen 7 pro,16 Go,512 SSD,425 000 F Cfa
Venant,ASUS,I5,8Go,525 SSD,380 000 F Cfa
Venant,Lenovo,1.8GHz /2.25GHz,4Go,128 SSD,80 000 F Cfa
Neuf,HP,i5 11th,8,512 GO SSD,440 000 F Cfa
Neuf,Lenovo,RYZEN 7,16GB,512GB,550 000 F Cfa
Neuf,HP,i5 11th,32,256 go ssd,610 000 F Cfa
Neuf,Lenovo,Ryzen 5 pro,16,256,400 000 F Cfa
Neuf,HP,CORE I5,8Go,1 TERA+ 256 SSD,700 000 F Cfa
Neuf,HP,4 Go,,500,125 000 F Cfa
Venant,Apple,I7,16,512,650 000 F Cfa
Venant,Toshiba,Core 2,4gb,120g,50 000 F Cfa
Venant,Dell,I5,8,256,270 000 F Cfa
Venant,Dell,I5,8,256,270 000 F Cfa
Venant,Apple,Core i5,8,512,349 000 F Cfa
Venant,Dell,2.5,16Gb,256ssd,160 000 F Cfa
Venant,Apple,2.7 GHz,8go,1 terra,250 000 F Cfa
Venant,HP,Core i5,8Go,256Go,280 000 F Cfa
Neuf,Dell,I5,16,256,350 000 F Cfa
Venant,Apple,,,,150 000 F Cfa
Venant,Lenovo,,,,70 000 F Cfa
Neuf,Mech 15 G3R,I9 12eme Generation,32Go DDR5 4800mhz,2 Teras SSD,1 600 000 F Cfa
Neuf,Acer,I5,16 go,512ssd,650 000 F Cfa
Venant,HP,Cor i7,16g,512ssd,280 000 F Cfa
Neuf,HP,Core i5 11th Gen,16Gb,512 ssd,525 000 F Cfa
Neuf,Dell,Core i5 11th Gen,8GB,256 ssd,500 000 F Cfa
Neuf,HP,I7,16,512,650 000 F Cfa
Venant,Lenovo,dual core,8,500,110 000 F Cfa
Venant,Sony,i7,8,256,210 000 F Cfa
,,,,,450 000 F Cfa
,,,,,475 000 F Cfa
Neuf,Dell,,,,190 000 F Cfa
Neuf,MSI,i7-12650H,16 Go DDR5,SSD 1TB,950 000 F Cfa
Venant,HP,I5,8,128 et 500,185 000 F Cfa
Venant,Lenovo,i5,8,256,190 000 F Cfa
Neuf,HP,i3,8,256,215 000 F Cfa
Venant,Dell,Core i7,16,512,400 000 F Cfa
Venant,Dell,CORE i5 ✅,16 GO ✅,256 GO SSD ✅,260 000 F Cfa
Venant,Lenovo,i5,8,500 go hdd,110 000 F Cfa
Venant,Dell,i7,8 Go,,150 000 F Cfa
D'occasion,Apple,2.6ghz,16gb,256 gb ssd,285 000 F Cfa
Neuf,Apple,Core i7,16Gb,512gb,650 000 F Cfa
Venant,Apple,,,,65 000 F Cfa
D'occasion,HP,,4Go,120GB SSD,85 000 F Cfa
Venant,Apple,I7,32,1TB/SSD,850 000 F Cfa
Neuf,HP,,,,150 000 F Cfa
Neuf,HP,DUAL CORE,4Go,1000Go,170 000 F Cfa
Venant,Dell,,8,256,180 000 F Cfa
Venant,Lenovo,,8,256,180 000 F Cfa
Neuf,HP,24 pouces,8,1 Tera,450 000 F Cfa
Neuf,Dell,I7,16 go,512 ssd,450 000 F Cfa
Neuf,Apple,M2,8,256,950 000 F Cfa
D'occasion,Apple,Intel Core i7,16 go,512 Go,750 000 F Cfa
Neuf,Dell,i7,16GB,512,450 000 F Cfa
D'occasion,HP,Core Duo ✅,4 GO ✅,500 GO ✅,115 000 F Cfa
Venant,Apple,M1 PRO,16,256,900 000 F Cfa
Venant,Apple,Core i7,8Go,512Go,250 000 F Cfa
Neuf,ASUS,Ryzen 6,8Go,512Go,280 000 F Cfa
Venant,Dell,i7,16,256,375 000 F Cfa
Neuf,Lenovo,i7,16,512,375 000 F Cfa
Neuf,HP,i7,16 go,512 ssd,550 000 F Cfa
Venant,HP,Intel,8,256 SSD,250 000 F Cfa
Neuf,Microsoft Surface,I5,8,256,600 000 F Cfa
Neuf,Apple,Apple M1 Pro,16 Go,SSD 1TB,1 450 000 F Cfa
Venant,Dell,I3,8,128,230 000 F Cfa
Venant,Dell,I5 10eme Generation,20Go ddr4,Ssd 256go Hdd 1Tera,325 000 F Cfa
Neuf,HP,Core i9,16GB,SSD 1TB,950 000 F Cfa
Venant,Apple,2.6ghz,16g,500g,700 000 F Cfa
Venant,Apple,M1,16g,512g,400 000 F Cfa
Neuf,MSI,i7-13700H,32 Go,SSD 1TB,1 200 000 F Cfa
Venant,Apple,2.4 GHz,8Go,256SSd,450 000 F Cfa
Neuf,Apple,M2,16gb,512,1 550 000 F Cfa
Neuf,HP,i7.10th ✅,32 GO ✅,1000 GO Ssd ✅,500 000 F Cfa
Venant,Dell,INTEL COR i7,8GO,500 Go,185 000 F Cfa
Neuf,HP,i7 12th,8Go,512Go SSD,610 000 F Cfa
Venant,Dell,Intel core i5,16go,512ssd,300 000 F Cfa
Neuf,HP,i7 12th ngen,8Go,512Go SSD,610 000 F Cfa
Venant,HP,AMD E1,8,256,125 000 F Cfa
Venant,Lenovo,i5,8,256,170 000 F Cfa
Neuf,Lenovo,i5,16Go,512Go,350 000 F Cfa
Venant,Dell,i7,16,256,245 000 F Cfa
Venant,HP,i7,8 go,256 ssd,245 000 F Cfa
D'occasion,HP,3.40GHZ,8GO,500GO,100 000 F Cfa
D'occasion,HP,3.20/i5,4,500,55 000 F Cfa
Neuf,Lenovo,i5 12th,8Go,512Go SSD,610 000 F Cfa
Venant,Apple,M1,8,256,480 000 F Cfa
Neuf,Dell,i9 12eme Generation 20 Processeurs,16Go,SSD 1To,800 000 F Cfa
Neuf,ASUS,Ryzen 7,8,512,425 000 F Cfa
Neuf,Apple,I7,16,256,550 000 F Cfa
D'occasion,Apple,I5,8,256,425 000 F Cfa
Neuf,ASUS,Core i9,64GB DDR4 (3200MHz),3To,1 950 000 F Cfa
Neuf,Apple,Apple M2 Pro,16 Go,512 Go,1 350 000 F Cfa
Venant,Apple,i5 ✅,8 GO ✅,256 GO SSD ✅,250 000 F Cfa
Venant,Lenovo,2.40Ghz,,512 Go,450 000 F Cfa
Venant,Lenovo,I5,8,256,190 000 F Cfa
Venant,Lenovo,I5,8,256,225 000 F Cfa
Neuf,HP,Ryzen 7,16,512,380 000 F Cfa
Venant,Dell,I7,32,512,350 000 F Cfa
Réconditionné,Lenovo,CORE I5,16GO,256 SSD,130 000 F Cfa
Venant,HP,Core I3,4 Go,500 Go,135 000 F Cfa
Neuf,Lenovo,Core I5,4G,500,200 000 F Cfa
Venant,Lenovo,i7,16 Go,512 Go ssd,200 000 F Cfa
Neuf,HP,Core i7,16go,1256go,360 000 F Cfa
Neuf,Apple,M2-Pro,16 Go,SSD 1TB,1 650 000 F Cfa
Venant,HP,X64,4 GB,232,175 000 F Cfa
Neuf,HP,i7,16,512,350 000 F Cfa
Venant,Dell,I7,16,512,400 000 F Cfa
Neuf,Dell,i7,16,512,350 000 F Cfa
Neuf,HP,i5,8,256,250 000 F Cfa
Venant,HP,i5,8,256,325 000 F Cfa
Venant,HP,,4,128,100 000 F Cfa
Venant,HP,I5,8 go,256 ssd,250 000 F Cfa
Neuf,MSI,I7-2700H,64GB DDR5 (4800MHz),SSD 2TB,1 850 000 F Cfa
Venant,HP,i5 6th,8,500Go,165 000 F Cfa
Réconditionné,HP,i7,8 go,256 ssd,275 000 F Cfa
Neuf,Lenovo,Rayzen 7 Pro,16g,512 ssd,480 000 F Cfa
Réconditionné,HP,Core i5,8Go,500 go et 256Go SSD,75 000 F Cfa
Venant,Lenovo,I5,16,512,350 000 F Cfa
Venant,Lenovo,I5,8,256,220 000 F Cfa
Venant,Microsoft Surface,I5,8,256,240 000 F Cfa
Venant,HP,I5,8,256,225 000 F Cfa
Neuf,Dell,Core i7 11th gen,32Gb,512 ssd,680 000 F Cfa
Neuf,HP,,,,140 000 F Cfa
Neuf,Lenovo,i7,16Go,1TB SSD,700 000 F Cfa
Venant,Apple,M1,8,256,600 000 F Cfa
Venant,Apple,Core i5,16Gb,1T ssd,600 000 F Cfa
Venant,HP,i5 7th,8,500 go hdd ou 128 go ssd,190 000 F Cfa
Neuf,Apple,8CPU 8GPU,8Go,SSD 256Go,500 000 F Cfa
Venant,Dell,i7,8 Go,256 Go ssd,185 000 F Cfa
Venant,Lenovo,i5,16 Go,500 Go,180 000 F Cfa
Neuf,Dell,Core i5,8go,256go,390 000 F Cfa
Neuf,Apple,,,,875 000 F Cfa
Neuf,ASUS,,,,700 000 F Cfa
Neuf,Lenovo,i7-12850HX,64GB DDR5,SSD 1TB,1 850 000 F Cfa
Venant,HP,Core I5,4 Go,500 Go,180 000 F Cfa
Neuf,HP,,4,64,100 000 F Cfa
Venant,Dell,Core i5,8 Go,256 Go ssd,115 000 F Cfa
Neuf,Dell,i7,512,32,700 000 F Cfa
Venant,Apple,,,,350 000 F Cfa
Venant,Lenovo,i7 ✅,32 GO ✅,500 GO SSD ✅,370 000 F Cfa
Venant,Apple,i5 ✅,8 GO ✅,256 GO SSD ✅,260 000 F Cfa
Venant,Apple,Core i5,8Go,128Go,250 000 F Cfa
Neuf,Microsoft Surface,I5,8,128,225 000 F Cfa
Neuf,Lenovo,I7,32,512,350 000 F Cfa
Neuf,HP,I7,16 go,512ssd,400 000 F Cfa
,,,,,475 000 F Cfa
Venant,HP,i3 ✅,4 GO ✅,1000 GO ✅,300 000 F Cfa
Venant,Lenovo,Ryzen 7 ✅,16 GO ✅,500 GO SSD ✅,370 000 F Cfa
Réconditionné,HP,i5,8 go,256 ssd,215 000 F Cfa
Neuf,Lenovo,I7,64,1000,1 350 000 F Cfa
Venant,Dell,i7,24,512,320 000 F Cfa
Neuf,HP,4.7GHZ,8GO,512GO,550 000 F Cfa
,,,,,475 000 F Cfa
,,,,,450 000 F Cfa
Venant,Dell,i7,16,512,380 000 F Cfa
Venant,HP,Core i5,4 Go,500 Go,65 000 F Cfa
Venant,Apple,2.5 GHz,16go,512ssd,350 000 F Cfa
Venant,Apple,1.6Ghz,16go,512ssd,450 000 F Cfa
Venant,Apple,Core i5,8g,1terra,155 000 F Cfa
Neuf,Autre,I5,8gb,1tb,260 000 F Cfa
Venant,Apple,M1,16,256,385 000 F Cfa
Neuf,Dell,Corei5,8,256,380 000 F Cfa
Venant,Lenovo,Cor i7,8go,256ssd,280 000 F Cfa
Neuf,Acer,Cor i3,8 go,512ssd,350 000 F Cfa
Neuf,Dell,i7,16,512,550 000 F Cfa
Neuf,Lenovo,i5,16go,512go,280 000 F Cfa
Venant,Lenovo,I7,16,1000,350 000 F Cfa
Neuf,HP,I7,16,512,550 000 F Cfa
Venant,Lenovo,i3,8,256,165 000 F Cfa
Neuf,HP,i7,16,512,250 000 F Cfa
Venant,HP,cor i5,4GO,500 Go,85 000 F Cfa
Venant,HP,,,,150 000 F Cfa
Neuf,Dell,i7 1260P 16 CPU,16Go,SSD 512Go,690 000 F Cfa
Venant,Lenovo,ICOR 7,16G,1TERA,200 000 F Cfa
Venant,Lenovo,ICOR 9,32G,1 TERA,550 000 F Cfa
Neuf,Microsoft Surface,I5-10Th,8 go,128ssd,320 000 F Cfa
D'occasion,Lenovo,r7,16,512,455 000 F Cfa
Venant,Lenovo,i5 7th,8,500 Go hdd,160 000 F Cfa
Venant,HP,cor i5,8 Go,500 Go,90 000 F Cfa
Venant,Apple,1.6Ghz,8go,128ssd,200 000 F Cfa
Venant,Dell,1.90 GHz,8go,512ssd,180 000 F Cfa
Venant,Dell,cor i7,8 Go,256 Go SSD,175 000 F Cfa
Venant,Lenovo,i7 8th,8,256 go ssd,250 000 F Cfa
Venant,Dell,i5,8 Go,256 Go ssd,160 000 F Cfa
Venant,Dell,3 Ghz Core i5,4,500 Go,145 000 F Cfa
Venant,Dell,i7 8th 3.20 Ghz à 4.60 GHz,8 Go,256 SSD où 512 SSD,350 000 F Cfa
Neuf,Apple,M1,8Gb,256 ssd,490 000 F Cfa
Neuf,Acer,I5-11Th,8 go,512 ssd,380 000 F Cfa
Venant,Lenovo,i5,16,256Go,360 000 F Cfa
Venant,HP,,8,256,190 000 F Cfa
Venant,Dell,i7 2.7ghz,16,500,235 000 F Cfa
Neuf,HP,Core i5,8 Go,256 Go,450 000 F Cfa
Neuf,HP,i3 11th gen,8Go,512Go ssd,295 000 F Cfa
Venant,Dell,i7,12,256,185 000 F Cfa
Neuf,HP,,,,500 000 F Cfa
Neuf,Apple,,,,1 050 000 F Cfa
Venant,Apple,,,,400 000 F Cfa
Venant,Apple,M2,8 go,256 go,570 000 F Cfa
Venant,Apple,I5,8go,256 go,360 000 F Cfa
Neuf,HP,Ryzen 5 ✅,16 GO ✅,500 GO SSD ✅,350 000 F Cfa
Venant,Lenovo,CORE i5 ✅,8 GO ✅,256 GO SSD ✅,250 000 F Cfa
Venant,Dell,"Intel(R) Core(TM) i7 -8560U CPU @ 1,90GHZ 2.11 GHZ",16 Go,256 Go,180 000 F Cfa
Neuf,HP,i3 11th gen,8Go,512 go ssd,295 000 F Cfa
Neuf,HP,i5 11th,8,256 go ssd,365 000 F Cfa
Venant,Dell,2.21,16go,512ssd,350 000 F Cfa
Venant,Microsoft Surface,ICOR 7,16G,512 SSD,275 000 F Cfa
Neuf,Dell,Core i7 11th,32go,1to,620 000 F Cfa
Venant,Lenovo,I7,16,512,370 000 F Cfa
Venant,Microsoft Surface,I7,16,512,390 000 F Cfa
Neuf,HP,6,4,8,850 000 F Cfa
Venant,Lenovo,I5,16,1T,290 000 F Cfa
Venant,Dell,i5,16go,Disc SSD 250go HDD 1to,110 000 F Cfa
Venant,Dell,1.40,4g,128ssd,120 000 F Cfa
Venant,Dell,I5,8,256,290 000 F Cfa
Venant,Lenovo,AMD,8,256,290 000 F Cfa
Neuf,Lenovo,I5-11300H,16GB,512 Go,585 000 F Cfa
Neuf,Apple,Core i5,16 Go,256 Go,450 000 F Cfa
Neuf,Lenovo,DUAL CORE,4Go,512 SSD,180 000 F Cfa
Neuf,Dell,Core i7,32go,512ssd,580 000 F Cfa
Neuf,HP,Core i5,8go,256ssd,230 000 F Cfa
Venant,Dell,i7 ✅,16 GO ✅,500 GO SSD ✅,260 000 F Cfa
Venant,Apple,2.0,8Go,500Go,160 000 F Cfa
Venant,Apple,I5,8,500,185 000 F Cfa
Venant,Lenovo,I7,16,512Go,550 000 F Cfa
Venant,Dell,i7,8,500 go hdd ou 128 go ssd,150 000 F Cfa
Neuf,Lenovo,Ryzen 7,16go,512go,390 000 F Cfa
Venant,HP,Duo core 1.6,4,128 Go SSD,90 000 F Cfa
Venant,Lenovo,Core i3,8 Go,500 Go,110 000 F Cfa
Venant,HP,I5,8 go,512 ssd,300 000 F Cfa
Neuf,ASUS,i7-13700K,64GB DDR5,2TB,1 950 000 F Cfa
Neuf,Lenovo,Core i7 10th,32go,512go,490 000 F Cfa
Réconditionné,HP,Intel core i5,8giga,500giga,150 000 F Cfa
Venant,Lenovo,I5,8 go,512 ssd,300 000 F Cfa
Venant,Lenovo,I7,16,512,260 000 F Cfa
Neuf,Dell,i9 16 Processeurs 11eme generation,32Go,SSD 1To,800 000 F Cfa
Neuf,ASUS,I7-11Th,16 go,512 ssd,850 000 F Cfa
Venant,HP,core i5,8 Go,500 Go,175 000 F Cfa
Venant,HP,cor i5,16 Go,256 Go SSD,250 000 F Cfa
Venant,Apple,2.6Ghz,16go,256ssd et 512ssd,600 000 F Cfa
Venant,Dell,13 pouces,8,256,200 000 F Cfa
Neuf,Dell,Core i5,16go,256go,390 000 F Cfa
Neuf,Autre,Intel,4,64,120 000 F Cfa
Venant,Lenovo,Intel,4,297,90 000 F Cfa
